date,profit
2025-10-17,0.0
2025-10-17,317.76
2025-10-17,358.21
2025-10-17,450.03
2025-10-17,465.39
2025-10-17,375.25
2025-10-17,252.32
2025-10-17,171.85
2025-10-17,323.72
2025-10-17,295.45
2025-10-17,363.57
2025-10-17,328.51
2025-10-17,438.49
2025-10-17,183.72
2025-10-17,149.94
2025-10-17,447.48
2025-10-17,277.73
2025-10-17,413.14
2025-10-17,330.41
2025-10-17,186.25
2025-10-17,402.39
2025-10-17,185.61
2025-10-17,262.27
2025-10-17,219.3
2025-10-17,246.02
2025-10-17,160.69
2025-10-17,294.58
2025-10-17,275.25
2025-10-17,378.92
2025-10-17,372.5
2025-10-17,429.37
2025-10-17,351.62
2025-10-17,456.71
2025-10-17,139.21
2025-10-17,323.08
2025-10-17,484.95
2025-10-17,409.19
2025-10-17,304.72
2025-10-17,426.53
2025-10-17,187.3
2025-10-17,451.43
2025-10-17,272.86
2025-10-17,401.86
2025-10-17,435.7
2025-10-17,286.61
2025-10-17,503.59
2025-10-17,432.89
2025-10-17,460.08
2025-10-17,141.22
2025-10-17,383.73
2025-10-17,335.06
2025-10-17,422.52
2025-10-17,413.22
2025-10-17,148.6
2025-10-17,465.61
2025-10-17,387.56
2025-10-17,465.3
2025-10-17,368.09
2025-10-17,419.05
2025-10-17,249.77
2025-10-17,296.9
2025-10-17,194.13
2025-10-17,210.66
2025-10-17,379.99
2025-10-17,508.44
2025-10-17,375.98
2025-10-17,111.77
2025-10-17,237.5
2025-10-17,241.03
2025-10-17,192.8
2025-10-17,386.75
2025-10-17,220.54
2025-10-17,221.58
2025-10-17,205.91
2025-10-17,182.07
2025-10-17,204.42
2025-10-17,287.47
2025-10-17,362.47
2025-10-17,330.76
2025-10-17,147.69
2025-10-17,486.69
2025-10-17,333.25
2025-10-17,179.8
2025-10-17,373.04
2025-10-17,473.84
2025-10-17,353.98
2025-10-17,283.75
2025-10-17,334.65
2025-10-17,223.55
2025-10-17,332.66
2025-10-17,199.64
2025-10-17,266.64
2025-10-17,196.51
2025-10-17,236.62
2025-10-17,283.69
2025-10-17,395.7
2025-10-17,460.02
2025-10-17,260.42
2025-10-17,269.53
2025-10-17,273.24
2025-10-17,175.46
2025-10-17,360.86
2025-10-17,195.09
2025-10-17,344.56
2025-10-17,254.68
2025-10-17,303.95
2025-10-17,204.46
2025-10-17,363.21
2025-10-17,264.84
2025-10-17,372.83
2025-10-17,236.52
2025-10-17,289.56
2025-10-17,190.63
2025-10-17,200.63
2025-10-17,231.87
2025-10-17,215.99
2025-10-17,352.16
2025-10-17,351.8
2025-10-17,344.53
2025-10-17,436.15
2025-10-17,235.94
2025-10-17,119.39
2025-10-17,452.65
2025-10-17,326.1
2025-10-17,234.61
2025-10-17,397.98
2025-10-17,107.03
2025-10-17,281.78
2025-10-17,149.51
2025-10-17,333.15
2025-10-17,489.03
2025-10-17,301.92
2025-10-17,362.22
2025-10-17,414.05
2025-10-17,381.3
2025-10-17,453.1
2025-10-17,287.62
2025-10-17,262.1
2025-10-17,260.58
2025-10-17,161.4
2025-10-17,457.05
2025-10-17,215.16
2025-10-17,341.87
2025-10-17,327.53
2025-10-17,407.55
2025-10-17,378.42
2025-10-17,330.39
2025-10-17,261.81
2025-10-17,428.77
2025-10-17,144.09
2025-10-17,310.17
2025-10-17,465.28
2025-10-17,464.57
2025-10-17,108.15
2025-10-17,361.04
2025-10-17,156.61
2025-10-17,341.36
2025-10-17,174.9
2025-10-17,179.91
2025-10-17,470.82
2025-10-17,215.71
2025-10-17,334.68
2025-10-17,435.35
2025-10-17,270.64
2025-10-17,374.86
2025-10-17,470.66
2025-10-17,166.4
2025-10-17,220.19
2025-10-17,178.88
2025-10-17,223.37
2025-10-17,229.97
2025-10-17,184.94
2025-10-17,329.39
2025-10-17,347.54
2025-10-17,221.69
2025-10-17,265.7
2025-10-17,389.47
2025-10-17,389.71
2025-10-17,218.74
2025-10-17,297.51
2025-10-17,125.75
2025-10-17,213.98
2025-10-17,285.28
2025-10-17,211.92
2025-10-17,224.31
2025-10-17,202.51
2025-10-17,198.74
2025-10-17,207.29
2025-10-17,255.08
2025-10-17,398.33
2025-10-17,209.89
2025-10-17,286.0
2025-10-17,424.66
2025-10-17,243.36
2025-10-17,346.12
2025-10-17,215.6
2025-10-17,396.17
2025-10-17,484.99
2025-10-17,105.68
2025-10-17,154.69
2025-10-17,202.57
2025-10-17,215.83
2025-10-17,384.04
2025-10-17,313.14
2025-10-17,476.28
2025-10-17,249.35
2025-10-17,444.46
2025-10-17,217.1
2025-10-17,221.93
2025-10-17,351.63
2025-10-17,258.56
2025-10-17,311.38
2025-10-17,441.37
2025-10-17,426.8
2025-10-17,463.2
2025-10-17,162.44
2025-10-17,155.33
2025-10-17,497.08
2025-10-17,311.87
2025-10-17,139.57
2025-10-17,477.51
2025-10-17,251.31
2025-10-17,465.51
2025-10-17,189.11
2025-10-17,416.1
2025-10-17,178.59
2025-10-17,273.4
2025-10-17,289.18
2025-10-17,124.08
2025-10-17,387.95
2025-10-17,374.04
2025-10-17,292.22
2025-10-17,279.14
2025-10-17,326.06
2025-10-17,171.74
2025-10-17,251.46
2025-10-17,254.4
2025-10-17,200.94
2025-10-17,495.26
2025-10-17,181.19
2025-10-17,218.04
2025-10-17,404.91
2025-10-17,156.25
2025-10-17,291.65
2025-10-17,141.62
2025-10-17,316.61
2025-10-17,393.64
2025-10-17,281.1
2025-10-17,333.3
2025-10-17,183.31
2025-10-17,200.08
2025-10-17,213.52
2025-10-17,129.65
2025-10-17,177.07
2025-10-17,277.83
2025-10-17,391.54
2025-10-17,327.53
2025-10-17,267.29
2025-10-17,143.26
2025-10-17,136.76
2025-10-17,162.02
2025-10-17,322.74
2025-10-17,442.47
2025-10-17,307.81
2025-10-17,259.72
2025-10-17,295.91
2025-10-17,180.97
2025-10-17,360.9
2025-10-17,419.96
2025-10-17,225.46
2025-10-17,270.1
2025-10-17,119.7
2025-10-17,445.28
2025-10-17,119.78
2025-10-17,367.5
2025-10-17,161.88
2025-10-17,415.57
2025-10-17,283.75
2025-10-17,151.47
2025-10-17,300.24
2025-10-17,388.3
2025-10-17,134.4
2025-10-17,429.52
2025-10-17,431.14
2025-10-17,370.18
2025-10-17,368.31
2025-10-17,426.86
2025-10-17,275.61
2025-10-17,410.08
2025-10-17,460.83
2025-10-17,294.09
2025-10-17,214.81
2025-10-17,152.82
2025-10-17,125.79
2025-10-17,348.02
2025-10-17,310.26
2025-10-17,261.05
2025-10-17,224.96
2025-10-17,283.4
2025-10-17,195.28
2025-10-17,404.87
2025-10-17,369.34
2025-10-17,330.79
2025-10-17,371.12
2025-10-17,413.01
2025-10-17,340.38
2025-10-17,188.28
2025-10-17,472.06
2025-10-17,202.0
2025-10-17,385.82
2025-10-17,322.62
2025-10-17,274.61
2025-10-17,148.63
2025-10-17,435.92
2025-10-17,162.38
2025-10-17,346.56
2025-10-17,263.27
2025-10-17,320.58
2025-10-17,312.23
2025-10-17,117.65
2025-10-17,441.75
2025-10-17,260.03
2025-10-17,322.19
2025-10-17,262.34
2025-10-17,426.07
2025-10-17,293.06
2025-10-17,223.0
2025-10-17,372.05
2025-10-17,204.38
2025-10-17,232.25
2025-10-17,343.33
2025-10-17,341.04
2025-10-17,286.16
2025-10-17,455.2
2025-10-17,355.9
2025-10-17,359.86
2025-10-17,105.18
2025-10-17,189.12
2025-10-17,117.54
2025-10-17,239.02
2025-10-17,233.47
2025-10-17,172.23
2025-10-17,250.35
2025-10-17,308.83
2025-10-17,149.59
2025-10-17,184.09
2025-10-17,328.91
2025-10-17,122.6
2025-10-17,144.33
2025-10-17,303.75
2025-10-17,248.07
2025-10-17,419.69
2025-10-17,225.79
2025-10-17,275.3
2025-10-17,139.66
2025-10-17,183.49
2025-10-17,247.26
2025-10-17,461.3
2025-10-17,310.27
2025-10-17,409.74
2025-10-17,279.83
2025-10-17,371.28
2025-10-17,171.99
2025-10-17,430.94
2025-10-17,210.82
2025-10-17,403.31
2025-10-17,189.69
2025-10-17,240.02
2025-10-17,288.78
2025-10-17,152.74
2025-10-17,452.8
2025-10-17,120.82
2025-10-17,391.97
2025-10-17,202.0
2025-10-17,221.57
2025-10-17,465.39
2025-10-17,215.83
2025-10-17,195.83
2025-10-17,109.64
2025-10-17,225.51
2025-10-17,390.89
2025-10-17,338.99
2025-10-17,192.33
2025-10-17,195.74
2025-10-17,295.49
2025-10-17,481.52
2025-10-17,449.54
2025-10-17,305.49
2025-10-17,343.4
2025-10-17,241.25
2025-10-17,250.84
2025-10-17,339.42
2025-10-17,245.96
2025-10-17,226.79
2025-10-17,450.93
2025-10-17,439.75
2025-10-17,402.42
2025-10-17,329.77
2025-10-17,304.15
2025-10-17,269.13
2025-10-17,438.6
2025-10-17,277.22
2025-10-17,145.14
2025-10-17,389.71
2025-10-17,393.04
2025-10-17,299.32
2025-10-17,129.18
2025-10-17,133.6
2025-10-17,177.07
2025-10-17,283.76
2025-10-17,140.26
2025-10-17,178.98
2025-10-17,282.5
2025-10-17,389.67
2025-10-17,182.57
2025-10-17,364.55
2025-10-17,404.87
2025-10-17,500.62
2025-10-17,402.02
2025-10-17,111.75
2025-10-17,316.13
2025-10-17,207.13
2025-10-17,339.12
2025-10-17,242.17
2025-10-17,289.62
2025-10-17,246.36
2025-10-17,119.33
2025-10-17,301.98
2025-10-17,167.77
2025-10-17,481.69
2025-10-17,119.25
2025-10-17,360.42
2025-10-17,444.91
2025-10-17,152.9
2025-10-17,286.05
2025-10-17,381.81
2025-10-17,261.78
2025-10-17,249.12
2025-10-17,424.49
2025-10-17,216.76
2025-10-17,331.46
2025-10-17,194.23
2025-10-17,267.68
2025-10-17,408.59
2025-10-17,391.3
2025-10-17,488.47
2025-10-17,343.57
2025-10-17,184.0
2025-10-17,216.92
2025-10-17,176.36
2025-10-17,281.34
2025-10-17,235.83
2025-10-17,317.02
2025-10-17,156.44
2025-10-17,483.67
2025-10-17,277.75
2025-10-17,151.28
2025-10-17,125.76
2025-10-17,271.68
2025-10-17,467.55
2025-10-17,262.89
2025-10-17,263.85
2025-10-17,159.65
2025-10-17,320.68
2025-10-17,455.34
2025-10-17,222.15
2025-10-17,377.92
2025-10-17,219.56
2025-10-17,210.47
2025-10-17,442.09
2025-10-17,265.77
2025-10-17,199.74
2025-10-17,369.46
2025-10-17,433.45
2025-10-17,360.65
